time_iso8601,clones_total,clones_unique,views_total,views_unique
2026-04-14 00:00:00+00:00,10,4,15,1
2026-04-15 00:00:00+00:00,10,5,1,1
2026-04-16 00:00:00+00:00,29,10,18,2
2026-04-17 00:00:00+00:00,32,9,0,0
2026-04-18 00:00:00+00:00,16,6,0,0
2026-04-19 00:00:00+00:00,34,11,0,0
2026-04-20 00:00:00+00:00,50,19,18,4
2026-04-21 00:00:00+00:00,34,15,1,1
2026-04-22 00:00:00+00:00,92,33,1,1
2026-04-23 00:00:00+00:00,60,21,0,0
2026-04-24 00:00:00+00:00,91,31,0,0
2026-04-25 00:00:00+00:00,63,24,0,0
2026-04-26 00:00:00+00:00,41,11,0,0
2026-04-27 00:00:00+00:00,11,5,2,1
